"# SETFOS, Semiconducting Thin Film Optics Simulator",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Parameter file:    C:\Users\Deniz\Documents\Setfos\workspace\PoSiT.parx,,,,,,,,,,,,,,,,,
# Host name:         DESKTOP-H9RHCC3,,,,,,,,,,,,,,,,,
# Operating system:  Windows_NT,,,,,,,,,,,,,,,,,
# User:              Deniz,,,,,,,,,,,,,,,,,
# Time of execution: Wed Aug 19 06:55:13 2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# CPU time elapsed: 30.13 s,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Wavelength(nm),R(),T(),A(),R.s(),T.s(),A.s(),R.p(),T.p(),A.p(),haze_ref(),A_unpol(),ITO_Top.A(),SnOx.A(),PSK.A(),HTL.A(),ITO_Bot.A(),Si_2.A()
7.65E+02,3.61E-04,2.49E-14,1.00E+00,3.61E-04,2.49E-14,1.00E+00,3.61E-04,2.49E-14,1.00E+00,1.00E+00,1.00E+00,0.00E+00,7.69E-04,0.00E+00,1.07E-03,0.00E+00,9.98E-01
7.80E+02,6.92E-03,8.27E-17,9.93E-01,6.92E-03,8.27E-17,9.93E-01,6.92E-03,8.27E-17,9.93E-01,1.00E+00,9.93E-01,0.00E+00,7.07E-04,0.00E+00,1.09E-03,0.00E+00,9.91E-01
7.95E+02,2.12E-02,2.72E-11,9.79E-01,2.12E-02,2.72E-11,9.79E-01,2.12E-02,2.72E-11,9.79E-01,1.00E+00,9.79E-01,0.00E+00,6.34E-04,0.00E+00,8.08E-04,0.00E+00,9.77E-01
8.10E+02,3.63E-02,2.24E-14,9.64E-01,3.63E-02,2.24E-14,9.64E-01,3.63E-02,2.24E-14,9.64E-01,1.00E+00,9.64E-01,0.00E+00,6.96E-04,0.00E+00,1.05E-03,0.00E+00,9.62E-01
8.25E+02,4.58E-02,1.73E-12,9.54E-01,4.58E-02,1.73E-12,9.54E-01,4.58E-02,1.73E-12,9.54E-01,1.00E+00,9.54E-01,0.00E+00,7.81E-04,0.00E+00,6.97E-04,0.00E+00,9.53E-01
8.40E+02,4.74E-02,9.69E-14,9.53E-01,4.74E-02,9.69E-14,9.53E-01,4.74E-02,9.69E-14,9.53E-01,1.00E+00,9.53E-01,0.00E+00,9.44E-04,0.00E+00,6.45E-04,0.00E+00,9.51E-01
8.55E+02,4.18E-02,5.53E-13,9.58E-01,4.18E-02,5.53E-13,9.58E-01,4.18E-02,5.53E-13,9.58E-01,1.00E+00,9.58E-01,0.00E+00,1.11E-03,0.00E+00,7.96E-04,0.00E+00,9.56E-01
8.70E+02,3.13E-02,3.60E-12,9.69E-01,3.13E-02,3.60E-12,9.69E-01,3.13E-02,3.60E-12,9.69E-01,1.00E+00,9.69E-01,0.00E+00,1.29E-03,0.00E+00,9.09E-04,0.00E+00,9.67E-01
8.85E+02,1.96E-02,2.03E-11,9.80E-01,1.96E-02,2.03E-11,9.80E-01,1.96E-02,2.03E-11,9.80E-01,1.00E+00,9.80E-01,0.00E+00,1.45E-03,0.00E+00,1.01E-03,0.00E+00,9.78E-01
9.00E+02,9.98E-03,1.19E-10,9.90E-01,9.98E-03,1.19E-10,9.90E-01,9.98E-03,1.19E-10,9.90E-01,1.00E+00,9.90E-01,0.00E+00,1.57E-03,0.00E+00,1.12E-03,0.00E+00,9.87E-01
9.15E+02,4.04E-03,6.18E-10,9.96E-01,4.04E-03,6.18E-10,9.96E-01,4.04E-03,6.18E-10,9.96E-01,1.00E+00,9.96E-01,0.00E+00,1.66E-03,0.00E+00,9.61E-04,0.00E+00,9.93E-01
9.30E+02,1.62E-03,3.13E-09,9.98E-01,1.62E-03,3.13E-09,9.98E-01,1.62E-03,3.13E-09,9.98E-01,1.00E+00,9.98E-01,1.48E-02,1.67E-03,0.00E+00,1.05E-03,1.10E-03,9.80E-01
9.45E+02,9.44E-04,1.48E-08,9.99E-01,9.44E-04,1.48E-08,9.99E-01,9.44E-04,1.48E-08,9.99E-01,1.00E+00,9.99E-01,2.20E-02,1.67E-03,0.00E+00,1.19E-03,1.44E-03,9.73E-01
9.60E+02,4.92E-04,6.46E-08,1.00E+00,4.92E-04,6.46E-08,1.00E+00,4.92E-04,6.46E-08,1.00E+00,1.00E+00,1.00E+00,1.78E-02,1.69E-03,0.00E+00,1.13E-03,1.09E-03,9.78E-01
9.75E+02,2.95E-04,2.65E-07,1.00E+00,2.95E-04,2.65E-07,1.00E+00,2.95E-04,2.65E-07,1.00E+00,1.00E+00,1.00E+00,2.87E-02,1.66E-03,0.00E+00,1.88E-03,3.93E-03,9.63E-01
9.90E+02,1.67E-03,1.02E-06,9.98E-01,1.67E-03,1.02E-06,9.98E-01,1.67E-03,1.02E-06,9.98E-01,1.00E+00,9.98E-01,4.25E-02,1.63E-03,0.00E+00,1.46E-03,4.02E-03,9.49E-01
1.01E+03,5.82E-03,4.01E-06,9.94E-01,5.82E-03,4.01E-06,9.94E-01,5.82E-03,4.01E-06,9.94E-01,1.00E+00,9.94E-01,3.01E-02,1.64E-03,0.00E+00,1.79E-03,3.33E-03,9.57E-01
1.02E+03,1.31E-02,1.58E-05,9.87E-01,1.31E-02,1.58E-05,9.87E-01,1.31E-02,1.58E-05,9.87E-01,1.00E+00,9.87E-01,1.91E-02,1.65E-03,0.00E+00,2.41E-03,2.55E-03,9.61E-01
1.04E+03,2.35E-02,5.73E-05,9.76E-01,2.35E-02,5.73E-05,9.76E-01,2.35E-02,5.73E-05,9.76E-01,1.00E+00,9.76E-01,2.24E-02,1.64E-03,0.00E+00,2.19E-03,2.68E-03,9.48E-01
