Wavelength (nm),n,k
3.250000000000000000e+02,1.724895749999999950e+00,9.657186250000000527e-01
3.260000000000000000e+02,1.730210999999999943e+00,9.684945999999999833e-01
3.270000000000000000e+02,1.734657666666666653e+00,9.720866000000000229e-01
3.280000000000000000e+02,1.739767000000000063e+00,9.763010000000000854e-01
3.290000000000000000e+02,1.745128999999999930e+00,9.802265000000000006e-01
3.300000000000000000e+02,1.750839000000000034e+00,9.823740000000000805e-01
3.310000000000000000e+02,1.756900750000000011e+00,9.852857500000000712e-01
3.320000000000000000e+02,1.763196999999999903e+00,9.887070000000000025e-01
3.330000000000000000e+02,1.766923249999999834e+00,9.926988749999999806e-01
3.340000000000000000e+02,1.771075999999999873e+00,9.962712500000000526e-01
3.350000000000000000e+02,1.775868499999999850e+00,9.992143749999999880e-01
3.360000000000000000e+02,1.781865999999999950e+00,1.001203499999999913e+00
3.370000000000000000e+02,1.788145624999999850e+00,1.003151250000000161e+00
3.380000000000000000e+02,1.794348749999999937e+00,1.005887500000000045e+00
3.390000000000000000e+02,1.799997625000000046e+00,1.008489874999999980e+00
3.400000000000000000e+02,1.805277000000000021e+00,1.011003000000000096e+00
3.410000000000000000e+02,1.810121000000000091e+00,1.014604333333333441e+00
3.420000000000000000e+02,1.816506750000000059e+00,1.016772812499999956e+00
3.430000000000000000e+02,1.824434249999999924e+00,1.017508437500000085e+00
3.440000000000000000e+02,1.829657812500000036e+00,1.019025375000000011e+00
3.450000000000000000e+02,1.834766375000000060e+00,1.020830499999999974e+00
3.460000000000000000e+02,1.840307625000000114e+00,1.023105500000000001e+00
3.470000000000000000e+02,1.846587375000000142e+00,1.023516749999999975e+00
3.480000000000000000e+02,1.853001250000000155e+00,1.023390812499999969e+00
3.490000000000000000e+02,1.857773750000000001e+00,1.025618937499999994e+00
3.500000000000000000e+02,1.862607187500000094e+00,1.026117999999999864e+00
3.510000000000000000e+02,1.867501562499999990e+00,1.024888000000000021e+00
3.520000000000000000e+02,1.873933249999999884e+00,1.025086749999999824e+00
3.530000000000000000e+02,1.879277437500000092e+00,1.025732437499999872e+00
3.540000000000000000e+02,1.881685562499999964e+00,1.027050562500000153e+00
3.550000000000000000e+02,1.886665312500000136e+00,1.028100062500000078e+00
3.560000000000000000e+02,1.892578600000000000e+00,1.028905733333333350e+00
3.570000000000000000e+02,1.896974600000000066e+00,1.028553066666666682e+00
3.580000000000000000e+02,1.901090624999999923e+00,1.028678250000000016e+00
3.590000000000000000e+02,1.905019999999999936e+00,1.029122000000000092e+00
3.600000000000000000e+02,1.908519999999999994e+00,1.030156999999999989e+00
3.610000000000000000e+02,1.912803999999999949e+00,1.032076999999999911e+00
3.620000000000000000e+02,1.918263999999999969e+00,1.035324499999999981e+00
3.630000000000000000e+02,1.923369000000000106e+00,1.035510500000000000e+00
3.640000000000000000e+02,1.928433499999999912e+00,1.034819125000000062e+00
3.650000000000000000e+02,1.933691000000000049e+00,1.033679749999999897e+00
3.660000000000000000e+02,1.938315124999999917e+00,1.033583999999999836e+00
3.670000000000000000e+02,1.942517000000000049e+00,1.034183999999999992e+00
3.680000000000000000e+02,1.945526375000000030e+00,1.034888374999999971e+00
3.690000000000000000e+02,1.949505250000000078e+00,1.035293500000000089e+00
3.700000000000000000e+02,1.954938375000000006e+00,1.035249750000000191e+00
3.710000000000000000e+02,1.958587499999999926e+00,1.035171500000000133e+00
3.720000000000000000e+02,1.961774399999999918e+00,1.034956133333333250e+00
3.730000000000000000e+02,1.964896399999999987e+00,1.034226800000000113e+00
3.740000000000000000e+02,1.967961874999999861e+00,1.035106562499999994e+00
3.750000000000000000e+02,1.971085437499999982e+00,1.036655312499999981e+00
3.760000000000000000e+02,1.974949812500000013e+00,1.038018437499999891e+00
3.770000000000000000e+02,1.978352937499999964e+00,1.038954062499999997e+00
3.780000000000000000e+02,1.981294812500000058e+00,1.039462187499999857e+00
3.790000000000000000e+02,1.985358874999999967e+00,1.041642062500000021e+00
3.800000000000000000e+02,1.989678875000000069e+00,1.043398687500000088e+00
3.810000000000000000e+02,1.994305124999999901e+00,1.043734312500000039e+00
3.820000000000000000e+02,1.997952249999999985e+00,1.044368750000000068e+00
3.830000000000000000e+02,2.001226062499999792e+00,1.045260625000000054e+00
3.840000000000000000e+02,2.004916687500000183e+00,1.047316875000000147e+00
3.850000000000000000e+02,2.009067625000000135e+00,1.049000312500000032e+00
3.860000000000000000e+02,2.013678874999999646e+00,1.050310937500000152e+00
3.870000000000000000e+02,2.018435812499999926e+00,1.051674437500000003e+00
3.880000000000000000e+02,2.023422200000000171e+00,1.052850399999999853e+00
3.890000000000000000e+02,2.028906199999999771e+00,1.053575066666666560e+00
3.900000000000000000e+02,2.032857499999999984e+00,1.053085499999999897e+00
3.910000000000000000e+02,2.036452500000000221e+00,1.052794374999999949e+00
3.920000000000000000e+02,2.040154999999999941e+00,1.054511250000000011e+00
3.930000000000000000e+02,2.043537624999999913e+00,1.056005000000000082e+00
3.940000000000000000e+02,2.046707000000000054e+00,1.057350000000000012e+00
3.950000000000000000e+02,2.051805749999999762e+00,1.059673749999999970e+00
3.960000000000000000e+02,2.056998249999999917e+00,1.061374749999999922e+00
3.970000000000000000e+02,2.062331374999999856e+00,1.062141624999999978e+00
3.980000000000000000e+02,2.067452499999999915e+00,1.062044999999999906e+00
3.990000000000000000e+02,2.071938750000000162e+00,1.062095624999999988e+00
4.000000000000000000e+02,2.074097500000000149e+00,1.063598750000000148e+00
4.010000000000000000e+02,2.078372375000000272e+00,1.065119499999999997e+00
4.020000000000000000e+02,2.084058000000000188e+00,1.066651999999999934e+00
4.030000000000000000e+02,2.088697375000000189e+00,1.068312624999999905e+00
4.040000000000000000e+02,2.093608733333333305e+00,1.069546866666666762e+00
4.050000000000000000e+02,2.098928066666666759e+00,1.070141533333333284e+00
4.060000000000000000e+02,2.103722062500000156e+00,1.071363124999999972e+00
4.070000000000000000e+02,2.108523687499999966e+00,1.072766687500000149e+00
4.080000000000000000e+02,2.113479312499999985e+00,1.074432312499999931e+00
4.090000000000000000e+02,2.119320000000000093e+00,1.075703749999999959e+00
4.100000000000000000e+02,2.125483562499999923e+00,1.076703187500000158e+00
4.110000000000000000e+02,2.131139187500000087e+00,1.076775062500000102e+00
4.120000000000000000e+02,2.136216062499999957e+00,1.077006937499999983e+00
4.130000000000000000e+02,2.140714187499999976e+00,1.077398812499999803e+00
4.140000000000000000e+02,2.146267562499999837e+00,1.079060812499999855e+00
4.150000000000000000e+02,2.152198625000000032e+00,1.080549124999999888e+00
4.160000000000000000e+02,2.158737375000000291e+00,1.081302874999999997e+00
4.170000000000000000e+02,2.165501874999999909e+00,1.080950187500000048e+00
4.180000000000000000e+02,2.172135187499999898e+00,1.080157312499999911e+00
4.190000000000000000e+02,2.176717062499999855e+00,1.079670437499999913e+00
4.200000000000000000e+02,2.182122000000000117e+00,1.079595333333333240e+00
4.210000000000000000e+02,2.188349999999999795e+00,1.079931999999999892e+00
4.220000000000000000e+02,2.193763750000000012e+00,1.079447624999999800e+00
4.230000000000000000e+02,2.199231999999999854e+00,1.079432750000000052e+00
4.240000000000000000e+02,2.204781999999999798e+00,1.080122124999999933e+00
4.250000000000000000e+02,2.211214500000000083e+00,1.080073000000000061e+00
4.260000000000000000e+02,2.217762625000000209e+00,1.079750624999999964e+00
4.270000000000000000e+02,2.223890749999999805e+00,1.079073750000000054e+00
4.280000000000000000e+02,2.230480500000000088e+00,1.078262999999999971e+00
4.290000000000000000e+02,2.237378000000000089e+00,1.077363000000000071e+00
4.300000000000000000e+02,2.243183000000000149e+00,1.074638624999999958e+00
4.310000000000000000e+02,2.248122500000000024e+00,1.072619750000000094e+00
4.320000000000000000e+02,2.251763750000000286e+00,1.071659125000000046e+00
4.330000000000000000e+02,2.257639000000000173e+00,1.071707500000000035e+00
4.340000000000000000e+02,2.263988250000000146e+00,1.071537624999999938e+00
4.350000000000000000e+02,2.269999499999999948e+00,1.069485749999999902e+00
4.360000000000000000e+02,2.275359749999999792e+00,1.068342499999999973e+00
4.370000000000000000e+02,2.280285999999999813e+00,1.067804999999999893e+00
4.380000000000000000e+02,2.288234666666666861e+00,1.066168333333333385e+00
4.390000000000000000e+02,2.294792750000000048e+00,1.064100937500000121e+00
4.400000000000000000e+02,2.299960249999999817e+00,1.061602812499999882e+00
4.410000000000000000e+02,2.305852250000000048e+00,1.059023124999999954e+00
4.420000000000000000e+02,2.311231687499999854e+00,1.056619812499999922e+00
4.430000000000000000e+02,2.315227312499999801e+00,1.054649187499999918e+00
4.440000000000000000e+02,2.320671937500000226e+00,1.052896437500000060e+00
4.450000000000000000e+02,2.326632750000000360e+00,1.051137500000000058e+00
4.460000000000000000e+02,2.331650250000000035e+00,1.048482499999999984e+00
4.470000000000000000e+02,2.336692124999999898e+00,1.045776875000000050e+00
4.480000000000000000e+02,2.341758374999999948e+00,1.043020625000000035e+00
4.490000000000000000e+02,2.345741249999999667e+00,1.040706499999999979e+00
4.500000000000000000e+02,2.349959624999999885e+00,1.038682437499999889e+00
4.510000000000000000e+02,2.355008375000000154e+00,1.037220562500000165e+00
4.520000000000000000e+02,2.360383500000000190e+00,1.035109437500000062e+00
4.530000000000000000e+02,2.365900599999999798e+00,1.032592399999999966e+00
4.540000000000000000e+02,2.371436600000000006e+00,1.028926400000000019e+00
4.550000000000000000e+02,2.375820749999999926e+00,1.025543749999999976e+00
4.560000000000000000e+02,2.379436999999999802e+00,1.022350000000000092e+00
4.570000000000000000e+02,2.383891374999999702e+00,1.019593750000000076e+00
4.580000000000000000e+02,2.387563249999999915e+00,1.016694750000000091e+00
4.590000000000000000e+02,2.390061375000000155e+00,1.013581625000000042e+00
4.600000000000000000e+02,2.393624500000000044e+00,1.012560499999999974e+00
4.610000000000000000e+02,2.397725125000000013e+00,1.011727124999999949e+00
4.620000000000000000e+02,2.402910750000000206e+00,1.009552750000000110e+00
4.630000000000000000e+02,2.407657249999999749e+00,1.007117000000000040e+00
4.640000000000000000e+02,2.412110999999999894e+00,1.004507000000000039e+00
4.650000000000000000e+02,2.417064125000000008e+00,1.002003874999999988e+00
4.660000000000000000e+02,2.421829750000000114e+00,9.987669999999999604e-01
4.670000000000000000e+02,2.426314124999999766e+00,9.944294999999999662e-01
4.680000000000000000e+02,2.429130499999999859e+00,9.908055000000000057e-01
4.690000000000000000e+02,2.431651066666666416e+00,9.875844666666666605e-01
4.700000000000000000e+02,2.434656399999999721e+00,9.852617999999999654e-01
4.710000000000000000e+02,2.437950687499999880e+00,9.832091874999999703e-01
4.720000000000000000e+02,2.441417750000000275e+00,9.812386874999999842e-01
4.730000000000000000e+02,2.445325249999999784e+00,9.789655624999999972e-01
4.740000000000000000e+02,2.449095874999999811e+00,9.764777499999999222e-01
4.750000000000000000e+02,2.452729624999999913e+00,9.737752499999999811e-01
4.760000000000000000e+02,2.456148499999999846e+00,9.712443124999999844e-01
4.770000000000000000e+02,2.459647562499999829e+00,9.687268124999999230e-01
4.780000000000000000e+02,2.463389437500000057e+00,9.661961875000000255e-01
4.790000000000000000e+02,2.466737999999999875e+00,9.631370624999999741e-01
4.800000000000000000e+02,2.469854687499999812e+00,9.599661875000000677e-01
4.810000000000000000e+02,2.472401562499999983e+00,9.578280625000000770e-01
4.820000000000000000e+02,2.475465000000000249e+00,9.555940000000000545e-01
4.830000000000000000e+02,2.479045000000000165e+00,9.532640000000000002e-01
4.840000000000000000e+02,2.481917375000000092e+00,9.506617499999999721e-01
4.850000000000000000e+02,2.484829400000000188e+00,9.482243999999999673e-01
4.860000000000000000e+02,2.488017399999999935e+00,9.462423999999999280e-01
4.870000000000000000e+02,2.491668999999999912e+00,9.441319999999999713e-01
4.880000000000000000e+02,2.495348250000000156e+00,9.417893749999999287e-01
4.890000000000000000e+02,2.498674499999999910e+00,9.386462500000000153e-01
4.900000000000000000e+02,2.501407125000000065e+00,9.358410000000000339e-01
4.910000000000000000e+02,2.503744000000000192e+00,9.332610000000000072e-01
4.920000000000000000e+02,2.506434625000000249e+00,9.314909999999999579e-01
4.930000000000000000e+02,2.509398250000000274e+00,9.296254999999999935e-01
4.940000000000000000e+02,2.512771375000000251e+00,9.276167499999999899e-01
4.950000000000000000e+02,2.515761000000000358e+00,9.253740000000000299e-01
4.960000000000000000e+02,2.518762500000000237e+00,9.231967500000000104e-01
4.970000000000000000e+02,2.522194999999999965e+00,9.215154999999999319e-01
4.980000000000000000e+02,2.525753499999999985e+00,9.190325000000000299e-01
4.990000000000000000e+02,2.529396000000000200e+00,9.160150000000000237e-01
5.000000000000000000e+02,2.531694750000000216e+00,9.135424999999999240e-01
5.010000000000000000e+02,2.534470799999999802e+00,9.111779333333333009e-01
5.020000000000000000e+02,2.537962799999999852e+00,9.089752666666666148e-01
5.030000000000000000e+02,2.540554687499999797e+00,9.062350000000000128e-01
5.040000000000000000e+02,2.543020874999999847e+00,9.038437500000000568e-01
5.050000000000000000e+02,2.545427125000000235e+00,9.024062499999999654e-01
5.060000000000000000e+02,2.548548687500000298e+00,9.006520000000000081e-01
5.070000000000000000e+02,2.551916250000000108e+00,8.987408124999999304e-01
5.080000000000000000e+02,2.554738750000000280e+00,8.966389375000000106e-01
5.090000000000000000e+02,2.557737499999999997e+00,8.948301875000000960e-01
5.100000000000000000e+02,2.560912500000000147e+00,8.933145625000000756e-01
5.110000000000000000e+02,2.564755187499999867e+00,8.914653750000000043e-01
5.120000000000000000e+02,2.568630624999999945e+00,8.892614999999999270e-01
5.130000000000000000e+02,2.572409374999999887e+00,8.863165000000000626e-01
5.140000000000000000e+02,2.575387499999999719e+00,8.833588125000000346e-01
5.150000000000000000e+02,2.578005124999999786e+00,8.804793124999999998e-01
5.160000000000000000e+02,2.580466374999999868e+00,8.783524375000000273e-01
5.170000000000000000e+02,2.583215666666666799e+00,8.763529999999999376e-01
5.180000000000000000e+02,2.586253000000000135e+00,8.744809999999999528e-01
5.190000000000000000e+02,2.589466125000000396e+00,8.727447499999999581e-01
5.200000000000000000e+02,2.592789500000000302e+00,8.710117499999999735e-01
5.210000000000000000e+02,2.596278250000000121e+00,8.692836250000000042e-01
5.220000000000000000e+02,2.600235500000000144e+00,8.673480000000000079e-01
5.230000000000000000e+02,2.604302000000000117e+00,8.651783750000000550e-01
5.240000000000000000e+02,2.608337000000000128e+00,8.622802499999999704e-01
5.250000000000000000e+02,2.611979000000000273e+00,8.593180000000000263e-01
5.260000000000000000e+02,2.615359000000000211e+00,8.563129999999999908e-01
5.270000000000000000e+02,2.618741500000000055e+00,8.532930000000000792e-01
5.280000000000000000e+02,2.621834750000000103e+00,8.501644999999999897e-01
5.290000000000000000e+02,2.624494125000000011e+00,8.468732500000000218e-01
5.300000000000000000e+02,2.626813000000000287e+00,8.445485000000000353e-01
5.310000000000000000e+02,2.629348133333333504e+00,8.425262666666666345e-01
5.320000000000000000e+02,2.633088799999999896e+00,8.407476000000000393e-01
5.330000000000000000e+02,2.636949749999999870e+00,8.384403750000000155e-01
5.340000000000000000e+02,2.640835312499999699e+00,8.358698125000000312e-01
5.350000000000000000e+02,2.644478437500000112e+00,8.329679374999999775e-01
5.360000000000000000e+02,2.648042500000000299e+00,8.300282499999999120e-01
5.370000000000000000e+02,2.651527500000000259e+00,8.270507499999999457e-01
5.380000000000000000e+02,2.655005187500000030e+00,8.240040625000000230e-01
5.390000000000000000e+02,2.658461625000000161e+00,8.208853750000000282e-01
5.400000000000000000e+02,2.661870374999999900e+00,8.176166249999999858e-01
5.410000000000000000e+02,2.665105875000000069e+00,8.142433125000000382e-01
5.420000000000000000e+02,2.668235062499999977e+00,8.108334374999999206e-01
5.430000000000000000e+02,2.671075687500000129e+00,8.074978125000000784e-01
5.440000000000000000e+02,2.673880374999999976e+00,8.043350000000000222e-01
5.450000000000000000e+02,2.676649124999999962e+00,8.013450000000000850e-01
5.460000000000000000e+02,2.679680562500000196e+00,7.985327500000000134e-01
5.470000000000000000e+02,2.682931799999999978e+00,7.956225999999999576e-01
5.480000000000000000e+02,2.686627800000000121e+00,7.924379333333333442e-01
5.490000000000000000e+02,2.690111499999999989e+00,7.889604999999999535e-01
5.500000000000000000e+02,2.693450499999999970e+00,7.854010000000000158e-01
5.510000000000000000e+02,2.696422999999999792e+00,7.818060000000000009e-01
5.520000000000000000e+02,2.699467499999999909e+00,7.783107499999999401e-01
5.530000000000000000e+02,2.702560000000000073e+00,7.748819999999999597e-01
5.540000000000000000e+02,2.705604999999999816e+00,7.710307499999999870e-01
5.550000000000000000e+02,2.708417999999999992e+00,7.672499999999999876e-01
5.560000000000000000e+02,2.710882999999999932e+00,7.635750000000000037e-01
5.570000000000000000e+02,2.713683500000000137e+00,7.603174999999999795e-01
5.580000000000000000e+02,2.716650000000000009e+00,7.570163749999999636e-01
5.590000000000000000e+02,2.719945000000000057e+00,7.531232500000000218e-01
5.600000000000000000e+02,2.722703000000000095e+00,7.490501250000000111e-01
5.610000000000000000e+02,2.725102999999999831e+00,7.448569999999999913e-01
5.620000000000000000e+02,2.727551666666666375e+00,7.412683333333333069e-01
5.630000000000000000e+02,2.730265999999999860e+00,7.377380624999999581e-01
5.640000000000000000e+02,2.733246000000000286e+00,7.342661874999999450e-01
5.650000000000000000e+02,2.736089875000000227e+00,7.303409375000000647e-01
5.660000000000000000e+02,2.738865187500000076e+00,7.264016875000000040e-01
5.670000000000000000e+02,2.741515812499999871e+00,7.225473125000000385e-01
5.680000000000000000e+02,2.744350625000000043e+00,7.185721874999999592e-01
5.690000000000000000e+02,2.747239187499999957e+00,7.144945624999999856e-01
5.700000000000000000e+02,2.749901062499999771e+00,7.099601875000000062e-01
5.710000000000000000e+02,2.752302625000000003e+00,7.054508124999999685e-01
5.720000000000000000e+02,2.754443875000000208e+00,7.009664374999999836e-01
5.730000000000000000e+02,2.756497937499999829e+00,6.967351874999999639e-01
5.740000000000000000e+02,2.758625799999999906e+00,6.924706000000000472e-01
5.750000000000000000e+02,2.760948466666666601e+00,6.880626000000000797e-01
5.760000000000000000e+02,2.763227999999999795e+00,6.836735000000000451e-01
5.770000000000000000e+02,2.765411750000000168e+00,6.792327500000000517e-01
5.780000000000000000e+02,2.767255500000000090e+00,6.745664999999999578e-01
5.790000000000000000e+02,2.768843874999999954e+00,6.701848749999999022e-01
5.800000000000000000e+02,2.770261999999999780e+00,6.659929999999999461e-01
5.810000000000000000e+02,2.772198874999999951e+00,6.622067499999999551e-01
5.820000000000000000e+02,2.774293249999999933e+00,6.581937500000000218e-01
5.830000000000000000e+02,2.776623874999999853e+00,6.538406250000000641e-01
5.840000000000000000e+02,2.778601000000000099e+00,6.491360000000000463e-01
5.850000000000000000e+02,2.780416750000000103e+00,6.443702500000000333e-01
5.860000000000000000e+02,2.781940500000000149e+00,6.397114999999999885e-01
5.870000000000000000e+02,2.783441750000000159e+00,6.351352500000000401e-01
5.880000000000000000e+02,2.784927999999999848e+00,6.306140000000000079e-01
5.890000000000000000e+02,2.786584666666666710e+00,6.257599999999999829e-01
5.900000000000000000e+02,2.788180187500000073e+00,6.209373750000000136e-01
5.910000000000000000e+02,2.789714562499999939e+00,6.161461249999999890e-01
5.920000000000000000e+02,2.790974437499999627e+00,6.111473124999999840e-01
5.930000000000000000e+02,2.792081187500000006e+00,6.061278749999999826e-01
5.940000000000000000e+02,2.792901812499999803e+00,6.011141249999999436e-01
5.950000000000000000e+02,2.793487937500000129e+00,5.962736249999999183e-01
5.960000000000000000e+02,2.793971687500000023e+00,5.915461249999999227e-01
5.970000000000000000e+02,2.794438562499999890e+00,5.871673749999999359e-01
5.980000000000000000e+02,2.795038250000000168e+00,5.828198749999999873e-01
5.990000000000000000e+02,2.795770749999999971e+00,5.785036250000000768e-01
6.000000000000000000e+02,2.796509437500000139e+00,5.739561874999999924e-01
6.010000000000000000e+02,2.797181399999999929e+00,5.692633999999999750e-01
6.020000000000000000e+02,2.797696066666666592e+00,5.642913999999999985e-01
6.030000000000000000e+02,2.798028999999999655e+00,5.596370000000000511e-01
6.040000000000000000e+02,2.798294749999999720e+00,5.550808750000000291e-01
6.050000000000000000e+02,2.798473500000000058e+00,5.506002500000000133e-01
6.060000000000000000e+02,2.798612125000000006e+00,5.461620000000000363e-01
6.070000000000000000e+02,2.798723999999999990e+00,5.417520000000000113e-01
6.080000000000000000e+02,2.798770250000000015e+00,5.373695000000000555e-01
6.090000000000000000e+02,2.798775250000000270e+00,5.329939999999999678e-01
6.100000000000000000e+02,2.798718374999999980e+00,5.286290000000000155e-01
6.110000000000000000e+02,2.798555999999999599e+00,5.242959999999999843e-01
6.120000000000000000e+02,2.798337624999999829e+00,5.199912500000000160e-01
6.130000000000000000e+02,2.798000749999999925e+00,5.157675000000000454e-01
6.140000000000000000e+02,2.797606399999999827e+00,5.114864000000000077e-01
6.150000000000000000e+02,2.797181874999999707e+00,5.072039999999999882e-01
6.160000000000000000e+02,2.796830624999999682e+00,5.032539999999999791e-01
6.170000000000000000e+02,2.796479999999999855e+00,4.992846250000000374e-01
6.180000000000000000e+02,2.796130000000000226e+00,4.952958749999999966e-01
6.190000000000000000e+02,2.795665249999999880e+00,4.912998124999999883e-01
6.200000000000000000e+02,2.795149687499999924e+00,4.873304999999999998e-01
6.210000000000000000e+02,2.794545312499999934e+00,4.834255000000000080e-01
6.220000000000000000e+02,2.793895875000000029e+00,4.796075625000000286e-01
6.230000000000000000e+02,2.793227125000000033e+00,4.758386874999999683e-01
6.240000000000000000e+02,2.792558375000000037e+00,4.721755624999999790e-01
6.250000000000000000e+02,2.791888999999999843e+00,4.684056666666666646e-01
6.260000000000000000e+02,2.791218999999999895e+00,4.645290000000000252e-01
6.270000000000000000e+02,2.790536499999999975e+00,4.608408749999999832e-01
6.280000000000000000e+02,2.789787500000000087e+00,4.571719999999999673e-01
6.290000000000000000e+02,2.788938749999999800e+00,4.535319999999999907e-01
6.300000000000000000e+02,2.788033500000000053e+00,4.500334999999999752e-01
6.310000000000000000e+02,2.787126499999999840e+00,4.465848749999999923e-01
6.320000000000000000e+02,2.786268999999999885e+00,4.431942500000000118e-01
6.330000000000000000e+02,2.785367249999999739e+00,4.397631250000000325e-01
6.340000000000000000e+02,2.784435999999999911e+00,4.363049999999999984e-01
6.350000000000000000e+02,2.783254125000000023e+00,4.329893750000000097e-01
6.360000000000000000e+02,2.782077000000000133e+00,4.298397499999999649e-01
6.370000000000000000e+02,2.780907000000000018e+00,4.269391249999999749e-01
6.380000000000000000e+02,2.780026066666666740e+00,4.239899333333333464e-01
6.390000000000000000e+02,2.779289937499999752e+00,4.209738749999999974e-01
6.400000000000000000e+02,2.778723062500000118e+00,4.178301249999999967e-01
6.410000000000000000e+02,2.777914687500000035e+00,4.145192500000000058e-01
6.420000000000000000e+02,2.776969624999999997e+00,4.111591249999999587e-01
6.430000000000000000e+02,2.775725875000000009e+00,4.080003749999999707e-01
6.440000000000000000e+02,2.774497124999999897e+00,4.049875625000000090e-01
6.450000000000000000e+02,2.773283375000000106e+00,4.021206875000000180e-01
6.460000000000000000e+02,2.772167500000000118e+00,3.993156875000000161e-01
6.470000000000000000e+02,2.771052562499999983e+00,3.965239375000000344e-01
6.480000000000000000e+02,2.769914437499999771e+00,3.937470624999999669e-01
6.490000000000000000e+02,2.768701266666666605e+00,3.909516666666666973e-01
6.500000000000000000e+02,2.767502874999999918e+00,3.882099999999999995e-01
6.510000000000000000e+02,2.766492249999999764e+00,3.857149999999999745e-01
6.520000000000000000e+02,2.765586625000000076e+00,3.831573749999999667e-01
6.530000000000000000e+02,2.764750999999999959e+00,3.805580000000000074e-01
6.540000000000000000e+02,2.763830374999999950e+00,3.777455000000000118e-01
6.550000000000000000e+02,2.762809500000000362e+00,3.749357500000000121e-01
6.560000000000000000e+02,2.761638250000000294e+00,3.721301249999999783e-01
6.570000000000000000e+02,2.760359000000000229e+00,3.694919999999999871e-01
6.580000000000000000e+02,2.759042533333333047e+00,3.669015333333333073e-01
6.590000000000000000e+02,2.757685200000000059e+00,3.643341999999999969e-01
6.600000000000000000e+02,2.756460750000000015e+00,3.619588125000000045e-01
6.610000000000000000e+02,2.755305937499999747e+00,3.596663750000000381e-01
6.620000000000000000e+02,2.754265312499999840e+00,3.573801250000000485e-01
6.630000000000000000e+02,2.753251249999999928e+00,3.550429375000000443e-01
6.640000000000000000e+02,2.752263750000000009e+00,3.526548125000000256e-01
6.650000000000000000e+02,2.751184562500000208e+00,3.501885000000000137e-01
6.660000000000000000e+02,2.750049250000000001e+00,3.477239999999999776e-01
6.670000000000000000e+02,2.748806749999999965e+00,3.452840000000000353e-01
