wl,y
346,1.607418670108973e-31
347,2.779059702578206e-32
348,4.707643775686689e-33
349,7.813509701976844e-34
350,1.270648903923514e-34
351,2.0246120805940222e-35
352,3.160784805454388e-36
353,4.8348708907877995e-37
354,7.246222762518048e-38
355,1.0640825663775947e-38
356,1.531002226078818e-39
357,2.1583067240204065e-40
358,2.9811741901826586e-41
359,4.034580534060496e-42
360,5.3499074900792194e-43
361,6.95073935301863e-44
362,8.848152134403985e-45
363,1.1035982589882546e-45
364,1.348671808299332e-46
365,1.614873096961628e-47
366,1.8945556508357918e-48
367,2.1777758699641273e-49
368,2.4527644526460933e-50
369,2.7066702700673616e-51
370,2.926521434164839e-52
371,3.100308515587044e-53
372,3.21806612952135e-54
373,3.2728180589939836e-55
374,3.2612613885226854e-56
375,3.184096356629503e-57
376,3.045956117494548e-58
377,2.854946209106704e-59
378,2.6218573870027355e-60
379,2.3591581059563623e-61
380,2.079897232521149e-62
381,1.7966502990277846e-63
382,1.5206248320387047e-64
383,1.2610068620580101e-65
384,1.0245889523770033e-66
385,8.156779738360883e-68
386,6.362453898335451e-69
387,4.862587275997243e-70
388,3.6412208212635236e-71
389,2.671551022114008e-72
390,1.9205108967087127e-73
391,1.3527169305945392e-74
392,9.335421320674502e-76
393,6.31244733369821e-77
394,4.1821389663717365e-78
395,2.714788488441763e-79
396,1.7266741433497034e-80
397,1.0760231610331078e-81
398,6.5700655214668785e-83
399,3.9305618013210123e-84
400,2.3039677993768546e-85
401,1.323229054264643e-86
402,7.446128018329571e-88
403,4.105469370440568e-89
404,2.217849036191178e-90
405,1.1739186269657175e-91
406,6.088087048839148e-93
407,3.093574366026524e-94
408,1.540199984624339e-95
409,7.513296299598901e-97
410,3.591044320691302e-98
411,1.6816974336905788e-99
412,7.716347987161617e-101
413,3.4690662659261856e-102
414,1.5280945750895767e-103
415,6.595150634703744e-105
416,2.7889199704536466e-106
417,1.1555380008572765e-107
418,4.691041333139424e-109
419,1.8659118991052574e-110
420,7.271932788631187e-112
421,2.776805274049655e-113
422,1.0389097979905333e-114
423,3.8084398960512937e-116
424,1.3678964336351958e-117
425,4.813890150801514e-119
426,1.6598772844801983e-120
427,5.60780152988059e-122
428,1.8562913255787173e-123
429,6.020554373341628e-125
430,1.913214563351209e-126
431,5.957001650521605e-128
432,1.817308300065571e-129
433,5.432082373889138e-131
434,1.590892855233723e-132
435,4.56512173453922e-134
436,1.2835140940093654e-135
437,3.535784341362804e-137
438,9.543501403114036e-139
439,2.523867565664384e-140
440,6.539766325458819e-142
441,1.6603312655464418e-143
442,4.130133682054371e-145
443,1.0066310423451051e-146
444,2.403883277714005e-148
445,5.624621220820905e-150
446,1.2894664088020797e-151
447,2.896433970115301e-153
448,6.3746167413405055e-155
449,1.374615931215516e-156
450,2.904327012385552e-158
451,6.012381124079037e-160
452,1.2195071150962481e-161
453,2.4235892733026744e-163
454,4.719223568784946e-165
455,9.00365675066671e-167
456,1.683077657930645e-168
457,3.0826642604354163e-170
458,5.532037903257333e-172
459,9.727044753898509e-174
460,1.675766593050314e-175
461,2.8286745951102198e-177
462,4.6783132610555646e-179
463,7.581104011900543e-181
464,1.2036839196262765e-182
465,1.872532264669995e-184
466,2.8541908379623534e-186
467,4.2625899157639484e-188
468,6.237361940619364e-190
469,8.942628430582093e-192
470,1.2562216487529512e-193
471,1.7290366862876713e-195
472,2.3317339181417743e-197
473,3.0809923462653417e-199
474,3.9887709302499225e-201
475,5.0596959528767965e-203
476,6.2884931365581565e-205
477,7.657828039272587e-207
478,9.136954782552986e-209
479,1.0681547812838342e-210
480,1.2234993678402027e-212
481,1.3731252618315852e-214
482,1.509918172853357e-216
483,1.6267975683170745e-218
484,1.7173169809222932e-220
485,1.7762506967173124e-222
486,1.8000928447054036e-224
487,1.7874026489780344e-226
488,1.7389485635478482e-228
489,1.6576312380508787e-230
490,1.5481960531774109e-232
491,1.4167748434783907e-234
492,1.2703183307015902e-236
493,1.115992151908972e-238
494,9.606088053975455e-241
495,8.101563369760523e-243
496,6.69465114043914e-245
497,5.4203073781758505e-247
498,4.299883880476614e-249
499,3.3421534563543205e-251
500,2.5452643430704067e-253
501,1.8992242522952327e-255
502,1.3885337768104485e-257
503,9.946573523475099e-260
504,6.981156808230186e-262
505,4.800849993106122e-264
506,3.234787280410889e-266
507,2.135552067424734e-268
508,1.3813745474275957e-270
509,8.754867588197758e-273
510,5.436564710825133e-275
511,3.3077782619882257e-277
512,1.9719007996402052e-279
513,1.1517827893727406e-281
514,6.591632004334572e-284
515,3.6961719762367387e-286
516,2.0307115246584156e-288
517,1.093153486856843e-290
518,5.765684879707638e-293
519,2.9795968609527155e-295
520,1.5086932971871383e-297
