wl,n,k
793,2.8228,7.165
794,2.8284000000000002,7.16
795,2.834,7.154999999999999
796,2.8396,7.1499999999999995
797,2.8452,7.145
798,2.8508,7.14
799,2.8564000000000003,7.135
800,2.862,7.13
801,2.8602,7.1259999999999994
802,2.8584,7.122
803,2.8566000000000003,7.118
804,2.8548,7.114
805,2.8529999999999998,7.109999999999999
806,2.8512,7.106
807,2.8494,7.102
808,2.8476,7.098
809,2.8457999999999997,7.093999999999999
810,2.844,7.09
811,2.8422,7.085
812,2.8404,7.08
813,2.8386,7.075
814,2.8367999999999998,7.07
815,2.835,7.0649999999999995
816,2.8332,7.06
817,2.8314,7.055
818,2.8296,7.05
819,2.8278,7.045
820,2.826,7.04
821,2.8226,7.036
822,2.8192,7.032
823,2.8158,7.0280000000000005
824,2.8124,7.024
825,2.809,7.02
826,2.8056,7.016
827,2.8022,7.0120000000000005
828,2.7988,7.008
829,2.7954,7.004
830,2.792,7.0
831,2.7872,6.997
832,2.7824,6.994
833,2.7775999999999996,6.991
834,2.7727999999999997,6.9879999999999995
835,2.768,6.984999999999999
836,2.7632,6.982
837,2.7584,6.979
838,2.7535999999999996,6.976
839,2.7487999999999997,6.973
840,2.7439999999999998,6.97
841,2.7392,6.967
842,2.7344,6.9639999999999995
843,2.7296,6.961
844,2.7248,6.958
845,2.7199999999999998,6.955
846,2.7152,6.952
847,2.7104,6.949
848,2.7056,6.946000000000001
849,2.7008,6.9430000000000005
850,2.696,6.94
851,2.6893000000000002,6.938000000000001
852,2.6826,6.936
853,2.6759,6.934
854,2.6692,6.932
855,2.6624999999999996,6.93
856,2.6557999999999997,6.928
857,2.6491,6.926
858,2.6424,6.924
859,2.6356999999999995,6.922
860,2.6289999999999996,6.92
861,2.6203999999999996,6.919
862,2.6117999999999997,6.918
863,2.6031999999999997,6.917
864,2.5946,6.916
865,2.586,6.915
866,2.5774,6.914
867,2.5688,6.913
868,2.5602,6.912
869,2.5516,6.9110000000000005
870,2.543,6.91
871,2.5332,6.9110000000000005
872,2.5234,6.912
873,2.5136000000000003,6.913
874,2.5038,6.914
875,2.4939999999999998,6.915
876,2.4842,6.916
877,2.4744,6.917
878,2.4646,6.918
879,2.4547999999999996,6.919
880,2.445,6.92
881,2.4339999999999997,6.923
882,2.423,6.926
883,2.412,6.929
884,2.401,6.932
885,2.3899999999999997,6.9350000000000005
886,2.379,6.938
887,2.368,6.941
888,2.3569999999999998,6.944
889,2.346,6.947
890,2.335,6.95
891,2.3242,6.956
892,2.3134,6.962
893,2.3026,6.968
894,2.2918,6.974
895,2.2809999999999997,6.98
896,2.2702,6.986
897,2.2594,6.992
898,2.2485999999999997,6.998
899,2.2378,7.004
900,2.227,7.01
901,2.2178999999999998,7.016
902,2.2088,7.022
903,2.1997,7.028
904,2.1906,7.034
905,2.1814999999999998,7.04
906,2.1724,7.046
907,2.1633,7.0520000000000005
908,2.1542,7.058
909,2.1451000000000002,7.064
910,2.136,7.07
911,2.1265,7.0760000000000005
912,2.117,7.082
913,2.1075,7.088
914,2.098,7.094
915,2.0885,7.1
916,2.079,7.106
917,2.0695,7.112
918,2.06,7.118
919,2.0505,7.124
920,2.041,7.13
921,2.0307,7.14
922,2.0204,7.15
923,2.0101,7.16
924,1.9998,7.17
925,1.9895,7.18
926,1.9792,7.19
927,1.9689,7.2
928,1.9586000000000001,7.21
929,1.9483000000000001,7.220000000000001
930,1.9380000000000002,7.23
931,1.9284000000000001,7.243
932,1.9188,7.256
933,1.9092,7.269
934,1.8996,7.282
935,1.8900000000000001,7.295
936,1.8804,7.308000000000001
937,1.8708,7.321000000000001
938,1.8612,7.3340000000000005
939,1.8516,7.347
940,1.8419999999999999,7.36
941,1.8323999999999998,7.373
942,1.8228,7.386
943,1.8132,7.399
944,1.8035999999999999,7.412
945,1.794,7.425000000000001
946,1.7844,7.438000000000001
947,1.7748,7.4510000000000005
948,1.7651999999999999,7.464
949,1.7556,7.477
950,1.746,7.49
951,1.7428,7.5040000000000004
952,1.7396,7.518
953,1.7364,7.532
954,1.7332,7.546
955,1.73,7.5600000000000005
956,1.7268,7.574
957,1.7236,7.588
958,1.7204,7.602
959,1.7172,7.616
960,1.714,7.63
961,1.7117,7.6419999999999995
962,1.7094,7.654
963,1.7070999999999998,7.666
964,1.7047999999999999,7.678
965,1.7025,7.6899999999999995
966,1.7002,7.702
967,1.6979,7.714
968,1.6955999999999998,7.726
969,1.6932999999999998,7.7379999999999995
970,1.6909999999999998,7.75
971,1.6888999999999998,7.7620000000000005
972,1.6867999999999999,7.774
973,1.6846999999999999,7.786
974,1.6825999999999999,7.798
975,1.6804999999999999,7.8100000000000005
976,1.6784,7.822
977,1.6763,7.834
978,1.6742,7.846
979,1.6721,7.8580000000000005
980,1.67,7.87
981,1.6677,7.882
982,1.6654,7.894
983,1.6630999999999998,7.906000000000001
984,1.6607999999999998,7.918
985,1.6584999999999999,7.93
986,1.6562,7.942
987,1.6539,7.954000000000001
988,1.6515999999999997,7.966
989,1.6492999999999998,7.978
990,1.6469999999999998,7.99
991,1.6447999999999998,8.0
992,1.6425999999999998,8.01
993,1.6403999999999999,8.02
994,1.6381999999999999,8.03
995,1.636,8.04
996,1.6338,8.05
997,1.6316,8.06
998,1.6294,8.07
999,1.6272,8.08
1000,1.625,8.09
1001,1.6227,8.1
1002,1.6204,8.11
1003,1.6180999999999999,8.12
1004,1.6158,8.129999999999999
1005,1.6135,8.14
1006,1.6112,8.15
1007,1.6089,8.16
1008,1.6065999999999998,8.17
1009,1.6042999999999998,8.18
1010,1.6019999999999999,8.19
1011,1.5997,8.201
1012,1.5974,8.212
1013,1.5951,8.222999999999999
1014,1.5928,8.234
1015,1.5905,8.245000000000001
1016,1.5881999999999998,8.256
1017,1.5858999999999999,8.267
1018,1.5836,8.278
1019,1.5813,8.289000000000001
1020,1.579,8.3
1021,1.5767,8.311
1022,1.5744,8.322000000000001
1023,1.5721,8.333
1024,1.5698,8.344000000000001
1025,1.5675,8.355
1026,1.5652,8.366
1027,1.5629,8.377
1028,1.5606,8.388
1029,1.5583,8.399000000000001
1030,1.556,8.41
1031,1.5545,8.421
1032,1.553,8.432
1033,1.5515,8.443
1034,1.55,8.454
1035,1.5485,8.465
1036,1.547,8.475999999999999
1037,1.5454999999999999,8.487
1038,1.544,8.498
1039,1.5425,8.509
1040,1.541,8.52
1041,1.5400999999999998,8.530999999999999
1042,1.5392,8.542
1043,1.5383,8.553
1044,1.5373999999999999,8.564
1045,1.5364999999999998,8.575
1046,1.5355999999999999,8.586
1047,1.5347,8.597000000000001
1048,1.5337999999999998,8.608
1049,1.5328999999999997,8.619
1050,1.5319999999999998,8.63
1051,1.5309999999999997,8.641
1052,1.5299999999999998,8.652000000000001
1053,1.529,8.663
1054,1.5279999999999998,8.674000000000001
1055,1.5269999999999997,8.685
1056,1.5259999999999998,8.696
1057,1.525,8.707
1058,1.5239999999999998,8.718
1059,1.5229999999999997,8.729000000000001
1060,1.5219999999999998,8.74
1061,1.521,8.752
1062,1.5199999999999998,8.764
1063,1.5189999999999997,8.776
1064,1.5179999999999998,8.788
1065,1.517,8.8
1066,1.5159999999999998,8.812
1067,1.5149999999999997,8.824
1068,1.5139999999999998,8.836
1069,1.513,8.847999999999999
1070,1.5119999999999998,8.86
1071,1.5111999999999999,8.870999999999999
1072,1.5103999999999997,8.882
1073,1.5095999999999998,8.893
1074,1.5088,8.904
1075,1.508,8.915
1076,1.5071999999999999,8.926
1077,1.5064,8.937000000000001
1078,1.5056,8.948
1079,1.5048,8.959
1080,1.504,8.97
1081,1.5038,8.98
1082,1.5036,8.99
1083,1.5033999999999998,9.0
1084,1.5031999999999999,9.01
1085,1.503,9.02
1086,1.5028,9.030000000000001
1087,1.5026,9.040000000000001
1088,1.5023999999999997,9.05
1089,1.5021999999999998,9.06
1090,1.5019999999999998,9.07
1091,1.5017999999999998,9.08
1092,1.5015999999999998,9.09
1093,1.5013999999999998,9.1
1094,1.5011999999999999,9.11
1095,1.501,9.120000000000001
1096,1.5008,9.13
1097,1.5006,9.14
1098,1.5004,9.15
1099,1.5002,9.16
1100,1.5,9.17
1101,1.4997,9.181
1102,1.4994,9.192
1103,1.4990999999999999,9.203
1104,1.4988,9.214
1105,1.4985,9.225
1106,1.4982,9.235999999999999
1107,1.4979,9.247
1108,1.4975999999999998,9.258
1109,1.4972999999999999,9.269
1110,1.4969999999999999,9.28
1111,1.4968,9.29
1112,1.4966,9.299999999999999
1113,1.4964,9.31
1114,1.4962,9.32
1115,1.496,9.33
1116,1.4958,9.34
1117,1.4956,9.35
1118,1.4954,9.360000000000001
1119,1.4952,9.370000000000001
1120,1.495,9.38
1121,1.4949000000000001,9.39
1122,1.4948000000000001,9.4
1123,1.4947000000000001,9.41
1124,1.4946000000000002,9.42
1125,1.4945,9.43
1126,1.4944,9.440000000000001
1127,1.4943,9.450000000000001
1128,1.4942,9.46
1129,1.4941,9.47
1130,1.494,9.48
1131,1.4941,9.489
1132,1.4942,9.498000000000001
1133,1.4943,9.507
1134,1.4944,9.516
1135,1.4945,9.525
1136,1.4946000000000002,9.534
1137,1.4947000000000001,9.543000000000001
1138,1.4948000000000001,9.552
1139,1.4949000000000001,9.561
1140,1.495,9.57
1141,1.4952,9.58
1142,1.4954,9.59
1143,1.4956,9.6
1144,1.4958,9.61
1145,1.496,9.620000000000001
1146,1.4962,9.63
1147,1.4964,9.64
1148,1.4966,9.65
1149,1.4968,9.66
1150,1.4969999999999999,9.67
1151,1.4970999999999999,9.679
1152,1.4971999999999999,9.688
1153,1.4973,9.697
1154,1.4974,9.706
1155,1.4975,9.715
1156,1.4976,9.724
1157,1.4977,9.733
1158,1.4978000000000002,9.741999999999999
1159,1.4979000000000002,9.751
1160,1.4980000000000002,9.76
1161,1.4981000000000002,9.77
1162,1.4982000000000002,9.78
1163,1.4983000000000002,9.79
1164,1.4984000000000002,9.799999999999999
1165,1.4985000000000002,9.809999999999999
1166,1.4986000000000002,9.82
1167,1.4987000000000001,9.83
1168,1.4988000000000001,9.84
1169,1.4989000000000001,9.85
1170,1.499,9.86
1171,1.4992,9.869
1172,1.4994,9.878
1173,1.4996,9.886999999999999
1174,1.4998,9.895999999999999
1175,1.5,9.905
1176,1.5002,9.914
1177,1.5004,9.923
1178,1.5006,9.931999999999999
1179,1.5008,9.940999999999999
1180,1.501,9.95
1181,1.5009,9.955
1182,1.5008,9.959999999999999
1183,1.5007,9.965
1184,1.5006,9.969999999999999
1185,1.5005,9.975
1186,1.5004,9.98
1187,1.5003,9.985
1188,1.5002,9.99
1189,1.5001,9.995
1190,1.5,10.0
1191,1.5,10.01
1192,1.5,10.02
1193,1.5,10.03
1194,1.5,10.04
1195,1.5,10.05
1196,1.5,10.06
1197,1.5,10.07
1198,1.5,10.08
1199,1.5,10.09
1200,1.5,10.1
