,wl,power
417,717,0.11003020318598686
418,718,0.10285316426464672
419,719,0.09266491082642493
420,720,0.09937562683526013
421,721,0.11000791774726619
422,722,0.12621763117043167
423,723,0.11691815715265425
424,724,0.1082770692073519
425,725,0.10689581172811391
426,726,0.11175976709985767
427,727,0.1125506933238838
428,728,0.10827873467889909
429,729,0.10937581267579392
430,730,0.1183781445397328
431,731,0.11269596808088239
432,732,0.12190546699649857
433,733,0.1269479020006978
434,734,0.1317138598113273
435,735,0.13040906195695504
436,736,0.12978651135702426
437,737,0.13026329349641383
438,738,0.13350126247266486
439,739,0.13035243856387363
440,740,0.1344647525663475
441,741,0.13495974872147243
442,742,0.13614112691779146
443,743,0.1402525317861507
444,744,0.14276703965189189
445,745,0.14425389778054065
446,746,0.14573334801616172
447,747,0.14776260304768618
448,748,0.1489942581041582
449,749,0.15087672724989976
450,750,0.1532700200297405
451,751,0.155394004016101
452,752,0.15913905700795236
453,753,0.1617080191750497
454,754,0.16747574546138638
455,755,0.17112357450802118
456,756,0.17337793942774868
457,757,0.17790967329469884
458,758,0.18416745383594277
459,759,0.18423017829545502
460,760,0.042311131164935206
461,761,0.025284031406157856
462,762,0.116658862292938
463,763,0.06660669021525778
464,764,0.09790042715603597
465,765,0.1290797323374247
466,766,0.15898095689985262
467,767,0.1972328452883202
468,768,0.23396103881272276
469,769,0.24608827420557633
470,770,0.26303600048181763
471,771,0.2750663472628786
472,772,0.28812532578365785
473,773,0.29912945394924884
474,774,0.31087467266013774
475,775,0.32299259348509973
476,776,0.3361485799587278
477,777,0.347025285729051
478,778,0.35970455454118816
479,779,0.37479447421490336
480,780,0.38436205727586137
481,781,0.3971939794613971
482,782,0.41318339518750047
483,783,0.4256098288042771
484,784,0.4368631115347601
485,785,0.4529488206547121
486,786,0.46737205129830517
487,787,0.4756093091737285
488,788,0.48325718186075917
489,789,0.49472796526329077
490,790,0.4922899249189188
491,791,0.5118215406656307
492,792,0.5193725960356248
493,793,0.5277501808482142
494,794,0.544447645293809
495,795,0.553966013352697
496,796,0.5554693526611576
497,797,0.5751436000661165
498,798,0.5968153356989424
499,799,0.5954041266252201
500,800,0.5950743538604445
501,801,0.6110343057689395
502,802,0.6205927706317016
503,803,0.6176294471642483
504,804,0.6329612961485777
505,805,0.6265316050849219
506,806,0.6595718600083192
507,807,0.6595766746729576
508,808,0.66401376811702
509,809,0.6534023592605156
510,810,0.6600064838613454
511,811,0.6640021167352336
512,812,0.6524622423086882
513,813,0.6458292560313459
514,814,0.5826610380541176
515,815,0.5812667226031417
516,816,0.5437634563843241
517,817,0.5600343729443945
518,818,0.5439349447165919
519,819,0.6018211935785156
520,820,0.5760264984488839
521,821,0.6700218833292444
522,822,0.6421422642011622
523,823,0.4559767426588268
524,824,0.636564705327489
525,825,0.6625997860667401
526,826,0.64082675700678
527,827,0.6782488793693912
528,828,0.5874596340345851
529,829,0.6446568222113538
530,830,0.6375378597160599
531,831,0.645123502065
532,832,0.6262985840089286
533,833,0.6718822392066269
534,834,0.6579871296494612
535,835,0.7086042308343349
536,836,0.6886916700006652
537,837,0.7167924684313935
538,838,0.7116068292547251
539,839,0.7153517131696969
540,840,0.7278560165474748
541,841,0.7260457209633333
542,842,0.7188240805366191
543,843,0.7268652952397261
544,844,0.7151210255034247
545,845,0.7388740610317253
546,846,0.7422878410448349
547,847,0.7242394333782882
548,848,0.7261874424724843
549,849,0.7231867332625365
550,850,0.6569273964666668
551,851,0.7181294918547619
552,852,0.7154534011480845
553,853,0.7136186806614007
554,854,0.6307327487697387
555,855,0.6778232257683239
556,856,0.7237931641608423
557,857,0.7388050130596323
558,858,0.7402866731712138
559,859,0.7413511972713915
560,860,0.7399400190005867
561,861,0.7401445228500455
562,862,0.7471355162913538
563,863,0.752815831280322
564,864,0.7378690939951904
565,865,0.7268991440488978
566,866,0.6415839011221944
567,867,0.6927478728653368
568,868,0.7268308519126118
569,869,0.7204969481249257
570,870,0.73512360927668
571,871,0.7256625029211463
572,872,0.7364707114839154
573,873,0.729985569188293
574,874,0.7180232848850221
575,875,0.7084820542914096
576,876,0.7291075823770177
577,877,0.73253006089269
578,878,0.7304649587545586
579,879,0.7191453946106692
580,880,0.7222623746170401
581,881,0.699203946237552
582,882,0.7183096834975264
