Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
744,1.2475000000000003,0.10856643356643356,0.10856643356643356,0,0.8914335664335665,0,0,0,0,1
746,1.2425,0.0881024531024531,0.0881024531024531,0,0.9118975468975469,0,0,0,0,1
748,1.2375,0.040873015873015874,0.040873015873015874,0,0.9591269841269842,0,0,0,0,1
750,1.2300000000000002,0.06359126984126985,0.06359126984126985,0,0.93640873015873,0,0,0,0,1
752,1.2274999999999998,0.08761904761904764,0.08761904761904764,0,0.9123809523809523,0,0,0,0,1
754,1.2325,0.08984126984126983,0.08984126984126983,0,0.9101587301587302,0,0,0,0,1
756,1.2225000000000001,0.030757575757575754,0.030757575757575754,0,0.9692424242424241,0,0,0,0,1
758,1.2174999999999998,0.08292180042180042,0.08292180042180042,0,0.9170781995781996,0,0,0,0,1.005352578848592
760,0.4685,0.05357142857142857,0.05357142857142857,0,0.9464285714285712,0,0,0,0,1.0115825744117268
762,0.4760000000000001,0.08134540897698792,0.08134540897698792,0,0.9186545910230116,0,0,0,0,1.0036107831151844
764,0.5339999999999999,0.0723001998001998,0.0723001998001998,0,0.9276998001997996,0,0,0,0,1.0073164467616378
766,0.81975,0.08409090909090908,0.08409090909090908,0,0.9159090909090895,0,0,0,0,1.0003933233734328
768,1.07775,0.09574897324897326,0.09574897324897326,0,0.9042510267510242,0,0,0,0,1.0000751199935969
770,1.1525,0.09683261183261183,0.09683261183261183,0,0.903167388167384,0,0,0,0,1.0004445395060835
772,1.17,0.09056372549019608,0.09056372549019608,0,0.9094362745097972,0,0,0,0,1.0001891246134769
774,1.17,0.08649531024531025,0.08649531024531025,0,0.9135046897546799,0,0,0,0,1.000181298381531
776,1.175,0.10573926073926074,0.10573926073926074,0,0.8942607392607245,0,0,0,0,1.0001399671282847
778,1.17,0.05895104895104895,0.05895104895104895,0,0.9410489510489276,0,0,0,0,1.0001274751104563
