wavelength	n	k
152.325	1.537423	0.004378
152.994	1.535856	0.004348
153.666	1.534329	0.004318
154.34	1.532841	0.004289
155.018	1.531395	0.004259
155.698	1.529999	0.004229
156.382	1.528655	0.004169
157.068	1.527324	0.004018
157.758	1.52598	0.003868
158.45	1.524637	0.003718
159.146	1.5233	0.003569
159.845	1.521966	0.003421
160.546	1.520641	0.003289
161.251	1.519329	0.003161
161.959	1.518027	0.003033
162.67	1.516726	0.002906
163.384	1.515418	0.002795
164.101	1.514134	0.002762
164.822	1.512894	0.002729
165.545	1.511685	0.002697
166.272	1.510503	0.002665
167.002	1.509344	0.002633
167.735	1.508206	0.002601
168.471	1.507089	0.002569
169.211	1.505992	0.002537
169.954	1.504913	0.002506
170.7	1.503851	0.002475
171.449	1.502807	0.002443
172.202	1.50178	0.002412
172.958	1.500768	0.002381
173.717	1.499772	0.00235
174.48	1.498792	0.00232
175.246	1.497826	0.002289
176.015	1.496874	0.002257
176.788	1.495935	0.002226
177.564	1.495009	0.002195
178.343	1.494096	0.002164
179.126	1.493195	0.002133
179.912	1.492306	0.002103
180.702	1.491427	0.002072
181.496	1.490558	0.002041
182.292	1.489694	0.002011
183.093	1.488843	0.002
183.896	1.488009	0.00199
184.704	1.48719	0.00198
185.514	1.486385	0.00197
186.329	1.485592	0.00196
187.147	1.484811	0.00195
187.968	1.484042	0.001941
188.793	1.483285	0.00193
189.622	1.482538	0.001921
190.455	1.481802	0.001912
191.291	1.481077	0.001902
192.131	1.480362	0.001893
192.974	1.479657	0.001883
193.821	1.478961	0.001873
194.672	1.478275	0.001864
195.527	1.477599	0.001855
196.385	1.476931	0.001846
197.247	1.476273	0.001837
198.113	1.475624	0.001827
198.983	1.474983	0.001818
199.856	1.47435	0.001809
200.733	1.473726	0.0018
201.615	1.47311	0.001791
202.5	1.472503	0.001783
203.389	1.471903	0.001774
204.282	1.471311	0.001766
205.178	1.470727	0.001757
206.079	1.47015	0.001748
206.984	1.46958	0.001739
207.892	1.469017	0.001731
208.805	1.468462	0.001723
209.722	1.467914	0.001714
210.642	1.467373	0.001706
211.567	1.466838	0.001697
212.496	1.46631	0.00169
213.429	1.465789	0.001681
214.365	1.465274	0.001673
215.307	1.464765	0.001665
216.252	1.464263	0.001657
217.201	1.463766	0.001649
218.155	1.463276	0.00164
219.112	1.462792	0.001633
220.074	1.462313	0.001625
221.04	1.46184	0.001617
222.011	1.461373	0.001609
222.985	1.460912	0.001602
223.964	1.460456	0.001594
224.947	1.460006	0.001586
225.935	1.45956	0.001579
226.927	1.45912	0.001571
227.923	1.458686	0.001563
228.923	1.458256	0.001555
229.928	1.457831	0.001549
230.938	1.457412	0.001541
231.951	1.456997	0.001534
232.97	1.456587	0.001526
233.992	1.456181	0.001519
235.02	1.455781	0.001512
236.051	1.455385	0.001504
237.088	1.454993	0.001498
238.128	1.454606	0.00149
239.174	1.454224	0.001483
240.224	1.453846	0.001476
241.278	1.453472	0.001469
242.337	1.453102	0.001462
243.401	1.452737	0.001455
244.47	1.452375	0.001448
245.543	1.452018	0.001442
246.621	1.451664	0.001434
247.703	1.451315	0.001428
248.791	1.450969	0.001421
249.883	1.450628	0.001414
250.98	1.45029	0.001407
252.082	1.449955	0.001401
253.188	1.449625	0.001395
254.3	1.449299	0.001387
255.416	1.448975	0.001381
256.537	1.448655	0.001375
257.664	1.448339	0.001368
258.795	1.448027	0.001361
259.931	1.447717	0.001355
261.072	1.447411	0.001349
262.218	1.447109	0.001343
263.369	1.446809	0.001336
264.525	1.446513	0.00133
265.687	1.44622	0.001324
266.853	1.44593	0.001318
268.024	1.445644	0.001312
269.201	1.44536	0.001305
270.383	1.445079	0.001299
271.57	1.444802	0.001293
272.762	1.444527	0.001287
273.959	1.444255	0.001281
275.162	1.443987	0.001276
276.37	1.443721	0.001269
277.583	1.443457	0.001263
278.802	1.443197	0.001257
280.025	1.442939	0.001252
281.255	1.442684	0.001246
282.489	1.442432	0.00124
283.73	1.442183	0.001234
284.975	1.441936	0.001229
286.226	1.441691	0.001222
287.483	1.441449	0.001217
288.745	1.44121	0.001211
290.012	1.440973	0.001206
291.285	1.440738	0.0012
292.564	1.440506	0.001195
293.848	1.440277	0.001189
295.138	1.44005	0.001184
296.434	1.439825	0.001178
297.735	1.439602	0.001173
299.042	1.439382	0.001168
300.355	1.439164	0.001162
301.674	1.438948	0.001157
302.998	1.438735	0.001151
304.328	1.438524	0.001145
305.664	1.438314	0.00114
307.006	1.438107	0.001135
308.354	1.437902	0.00113
309.707	1.437699	0.001125
311.067	1.437498	0.001119
312.432	1.437299	0.001114
313.804	1.437102	0.001109
315.182	1.436907	0.001104
316.565	1.436714	0.001099
317.955	1.436523	0.001094
319.351	1.436334	0.001089
320.753	1.436147	0.001084
322.161	1.435962	0.001079
323.575	1.435779	0.001074
324.995	1.435597	0.001069
326.422	1.435417	0.001064
327.855	1.435239	0.001059
329.294	1.435063	0.001054
330.74	1.434889	0.00105
332.192	1.434716	0.001045
333.65	1.434545	0.00104
335.115	1.434375	0.001035
336.586	1.434208	0.00103
338.063	1.434041	0.001026
339.547	1.433877	0.001022
341.038	1.433715	0.001017
342.535	1.433554	0.001013
344.039	1.433395	0.001008
345.549	1.433237	0.001003
347.066	1.43308	0.000999
348.59	1.432926	0.000994
350.12	1.432772	0.00099
351.657	1.432621	0.000985
353.201	1.43247	0.00098
354.751	1.432321	0.000976
356.309	1.432174	0.000971
357.873	1.432028	0.000967
359.444	1.431883	0.000963
361.022	1.43174	0.000958
362.607	1.431598	0.000954
364.198	1.431458	0.000949
365.797	1.431318	0.000945
367.403	1.431181	0.000942
369.016	1.431045	0.000937
370.636	1.43091	0.000933
372.263	1.430776	0.000929
373.897	1.430644	0.000924
375.538	1.430513	0.00092
377.187	1.430383	0.000916
378.843	1.430254	0.000912
380.506	1.430127	0.000907
382.176	1.430001	0.000903
383.854	1.429876	0.000899
385.539	1.429752	0.000895
387.232	1.429629	0.000892
388.931	1.429508	0.000888
390.639	1.429388	0.000883
392.354	1.429269	0.000879
394.076	1.429151	0.000875
395.806	1.429034	0.000871
397.544	1.428919	0.000867
399.289	1.428804	0.000863
401.042	1.42869	0.000859
402.802	1.428578	0.000855
404.57	1.428466	0.000852
406.346	1.428356	0.000848
408.13	1.428247	0.000844
409.922	1.428139	0.00084
411.721	1.428032	0.000837
413.529	1.427926	0.000833
415.344	1.42782	0.000829
417.167	1.427716	0.000825
418.999	1.427613	0.000821
420.838	1.42751	0.000818
422.686	1.42741	0.000815
424.541	1.427309	0.000811
426.405	1.42721	0.000807
428.277	1.427112	0.000803
430.157	1.427014	0.0008
432.045	1.426918	0.000796
433.942	1.426822	0.000792
435.847	1.426727	0.000789
437.76	1.426633	0.000786
439.682	1.42654	0.000782
441.612	1.426448	0.000779
443.551	1.426357	0.000775
445.498	1.426267	0.000771
447.453	1.426177	0.000768
449.418	1.426088	0.000764
451.391	1.426	0.000761
453.372	1.425913	0.000758
455.362	1.425827	0.000755
457.361	1.425742	0.000751
459.369	1.425657	0.000748
461.386	1.425573	0.000744
463.411	1.42549	0.000741
465.446	1.425408	0.000737
467.489	1.425326	0.000735
469.541	1.425246	0.000731
471.602	1.425166	0.000728
473.673	1.425086	0.000725
475.752	1.425008	0.000721
477.841	1.42493	0.000718
479.938	1.424853	0.000715
482.045	1.424776	0.000711
484.161	1.4247	0.000709
486.287	1.424626	0.000706
488.421	1.424552	0.000702
490.566	1.424478	0.000699
492.719	1.424405	0.000696
494.882	1.424333	0.000693
497.055	1.424261	0.000689
499.237	1.42419	0.000687
501.428	1.42412	0.000684
503.629	1.424051	0.000681
505.84	1.423982	0.000678
508.061	1.423913	0.000674
510.291	1.423846	0.000671
512.531	1.423778	0.000668
514.781	1.423712	0.000665
517.041	1.423646	0.000663
519.311	1.423581	0.00066
521.591	1.423516	0.000657
523.88	1.423452	0.000654
526.18	1.423389	0.000651
528.49	1.423326	0.000648
530.81	1.423263	0.000645
533.14	1.423201	0.000643
535.481	1.423141	0.00064
537.831	1.42308	0.000637
540.192	1.42302	0.000634
542.564	1.422961	0.000631
544.946	1.422902	0.000628
547.338	1.422843	0.000625
549.741	1.422785	0.000622
552.154	1.422727	0.00062
554.578	1.422671	0.000617
557.012	1.422615	0.000614
559.458	1.422559	0.000611
561.914	1.422504	0.000609
564.38	1.422449	0.000606
566.858	1.422394	0.000603
569.346	1.42234	0.000601
571.846	1.422287	0.000598
574.356	1.422235	0.000596
576.877	1.422182	0.000593
579.41	1.42213	0.00059
581.953	1.422079	0.000587
584.508	1.422028	0.000585
587.074	1.421977	0.000583
589.651	1.421927	0.00058
592.24	1.421878	0.000577
594.84	1.421829	0.000575
597.451	1.42178	0.000572
600.074	1.421732	0.000569
602.708	1.421684	0.000567
605.354	1.421636	0.000564
608.011	1.42159	0.000562
610.68	1.421543	0.00056
613.361	1.421497	0.000557
616.054	1.421452	0.000555
618.758	1.421406	0.000552
621.475	1.421361	0.000549
624.203	1.421317	0.000547
626.943	1.421273	0.000545
629.695	1.421229	0.000543
632.459	1.421186	0.00054
635.236	1.421143	0.000538
638.025	1.421101	0.000535
640.825	1.421059	0.000533
643.639	1.421017	0.00053
646.464	1.420975	0.000528
649.302	1.420935	0.000526
652.152	1.420894	0.000524
655.015	1.420854	0.000521
657.891	1.420814	0.000519
660.779	1.420775	0.000516
663.68	1.420736	0.000514
666.593	1.420697	0.000512
669.519	1.420658	0.00051
672.458	1.42062	0.000508
675.41	1.420583	0.000505
678.375	1.420545	0.000503
681.353	1.420508	0.000501
684.345	1.420471	0.000498
687.349	1.420435	0.000496
690.366	1.420398	0.000494
693.397	1.420363	0.000492
696.441	1.420328	0.00049
699.498	1.420293	0.000488
702.569	1.420258	0.000486
705.653	1.420223	0.000483
708.751	1.420189	0.000481
711.862	1.420155	0.000479
714.987	1.420121	0.000477
718.126	1.420088	0.000475
721.278	1.420055	0.000473
724.445	1.420023	0.000471
727.625	1.41999	0.000469
730.819	1.419958	0.000466
734.027	1.419926	0.000464
737.25	1.419895	0.000462
740.486	1.419863	0.00046
743.737	1.419832	0.000459
747.002	1.419802	0.000457
750.281	1.419772	0.000455
753.575	1.419742	0.000452
756.883	1.419712	0.00045
760.205	1.419682	0.000448
763.543	1.419653	0.000446
766.895	1.419623	0.000444
770.261	1.419594	0.000443
773.642	1.419566	0.000441
777.039	1.419538	0.000439
780.45	1.41951	0.000437
783.876	1.419482	0.000435
787.317	1.419454	0.000433
790.773	1.419427	0.000431
794.245	1.4194	0.000429
797.731	1.419373	0.000428
801.233	1.419347	0.000426
